municipality_name,bundesland,gkz,domain
Eisenstadt,Burgenland,10101,eisenstadt.gv.at
Rust,Burgenland,10201,rust.gv.at
Breitenbrunn,Burgenland,10301,breitenbrunn.gv.at
Donnerskirchen,Burgenland,10302,donnerskirchen.gv.at
Großhöflein,Burgenland,10303,grosshoeflein.gv.at
Hornstein,Burgenland,10304,hornstein.gv.at
Klingenbach,Burgenland,10305,klingenbach.gv.at
Leithaprodersdorf,Burgenland,10306,leithaprodersdorf.gv.at
Mörbisch am See,Burgenland,10307,moerbisch-see.gv.at
Müllendorf,Burgenland,10308,muellendorf.gv.at
Neufeld an der Leitha,Burgenland,10309,neufeld-leitha.gv.at
Oggau am Neusiedler See,Burgenland,10310,oggau-neusiedler-see.gv.at
Oslip,Burgenland,10311,oslip.gv.at
Purbach am Neusiedler See,Burgenland,10312,purbach-neusiedler-see.gv.at
Sankt Margarethen im Burgenland,Burgenland,10313,st-margarethen-burgenland.gv.at
Schützen am Gebirge,Burgenland,10314,schuetzen-gebirge.gv.at
Siegendorf,Burgenland,10315,siegendorf.gv.at
Steinbrunn,Burgenland,10316,steinbrunn.gv.at
Trausdorf an der Wulka,Burgenland,10317,trausdorf-wulka.gv.at
Wimpassing an der Leitha,Burgenland,10318,wimpassing-leitha.gv.at
Wulkaprodersdorf,Burgenland,10319,wulkaprodersdorf.gv.at
Loretto,Burgenland,10320,loretto.gv.at
Stotzing,Burgenland,10321,stotzing.gv.at
Zillingtal,Burgenland,10322,zillingtal.gv.at
Zagersdorf,Burgenland,10323,zagersdorf.gv.at
Bocksdorf,Burgenland,10401,bocksdorf.gv.at
Burgauberg-Neudauberg,Burgenland,10402,burgauberg-neudauberg.gv.at
Eberau,Burgenland,10403,eberau.gv.at
Gerersdorf-Sulz,Burgenland,10404,gerersdorf-sulz.gv.at
Güssing,Burgenland,10405,guessing.gv.at
Güttenbach,Burgenland,10406,guettenbach.gv.at
Heiligenbrunn,Burgenland,10407,heiligenbrunn.gv.at
Kukmirn,Burgenland,10408,kukmirn.gv.at
Neuberg im Burgenland,Burgenland,10409,neuberg-burgenland.gv.at
Neustift bei Güssing,Burgenland,10410,neustift-guessing.gv.at
Olbendorf,Burgenland,10411,olbendorf.gv.at
Ollersdorf im Burgenland,Burgenland,10412,ollersdorf-burgenland.gv.at
Sankt Michael im Burgenland,Burgenland,10413,st-michael-burgenland.gv.at
Stegersbach,Burgenland,10414,stegersbach.gv.at
Stinatz,Burgenland,10415,stinatz.gv.at
Strem,Burgenland,10416,strem.gv.at
Tobaj,Burgenland,10417,tobaj.gv.at
Hackerberg,Burgenland,10418,hackerberg.gv.at
Wörterberg,Burgenland,10419,woerterberg.gv.at
Großmürbisch,Burgenland,10420,grossmuerbisch.gv.at
Inzenhof,Burgenland,10421,inzenhof.gv.at
Kleinmürbisch,Burgenland,10422,kleinmuerbisch.gv.at
Tschanigraben,Burgenland,10423,tschanigraben.gv.at
Heugraben,Burgenland,10424,heugraben.gv.at
Rohr im Burgenland,Burgenland,10425,rohr-burgenland.gv.at
Bildein,Burgenland,10426,bildein.gv.at
Rauchwart,Burgenland,10427,rauchwart.gv.at
Moschendorf,Burgenland,10428,moschendorf.gv.at
Deutsch Kaltenbrunn,Burgenland,10501,deutsch-kaltenbrunn.gv.at
Eltendorf,Burgenland,10502,eltendorf.gv.at
Heiligenkreuz im Lafnitztal,Burgenland,10503,heiligenkreuz-lafnitztal.gv.at
Jennersdorf,Burgenland,10504,jennersdorf.gv.at
Minihof-Liebau,Burgenland,10505,minihof-liebau.gv.at
Mogersdorf,Burgenland,10506,mogersdorf.gv.at
Neuhaus am Klausenbach,Burgenland,10507,neuhaus-klausenbach.gv.at
Rudersdorf,Burgenland,10508,rudersdorf.gv.at
Sankt Martin an der Raab,Burgenland,10509,st-martin-raab.gv.at
Weichselbaum,Burgenland,10510,weichselbaum.gv.at
Königsdorf,Burgenland,10511,koenigsdorf.gv.at
Mühlgraben,Burgenland,10512,muehlgraben.gv.at
Draßburg,Burgenland,10601,drassburg.gv.at
Forchtenstein,Burgenland,10602,forchtenstein.gv.at
Hirm,Burgenland,10603,hirm.gv.at
Loipersbach im Burgenland,Burgenland,10604,loipersbach-burgenland.gv.at
Marz,Burgenland,10605,marz.gv.at
Mattersburg,Burgenland,10606,mattersburg.gv.at
Neudörfl,Burgenland,10607,neudoerfl.gv.at
Pöttelsdorf,Burgenland,10608,poettelsdorf.gv.at
Pöttsching,Burgenland,10609,poettsching.gv.at
Rohrbach bei Mattersburg,Burgenland,10610,rohrbach-mattersburg.gv.at
Bad Sauerbrunn,Burgenland,10611,bad-sauerbrunn.gv.at
Schattendorf,Burgenland,10612,schattendorf.gv.at
Sieggraben,Burgenland,10613,sieggraben.gv.at
Sigleß,Burgenland,10614,sigless.gv.at
Wiesen,Burgenland,10615,wiesen.gv.at
Antau,Burgenland,10616,antau.gv.at
Baumgarten,Burgenland,10617,baumgarten.gv.at
Zemendorf-Stöttera,Burgenland,10618,zemendorf-stoettera.gv.at
Krensdorf,Burgenland,10619,krensdorf.gv.at
Andau,Burgenland,10701,andau.gv.at
Apetlon,Burgenland,10702,apetlon.gv.at
Bruckneudorf,Burgenland,10703,bruckneudorf.gv.at
Deutsch Jahrndorf,Burgenland,10704,deutsch-jahrndorf.gv.at
Frauenkirchen,Burgenland,10705,frauenkirchen.gv.at
Gattendorf,Burgenland,10706,gattendorf.gv.at
Gols,Burgenland,10707,gols.gv.at
Halbturn,Burgenland,10708,halbturn.gv.at
Illmitz,Burgenland,10709,illmitz.gv.at
Jois,Burgenland,10710,jois.gv.at
Kittsee,Burgenland,10711,kittsee.gv.at
Mönchhof,Burgenland,10712,moenchhof.gv.at
Neusiedl am See,Burgenland,10713,neusiedl-see.gv.at
Nickelsdorf,Burgenland,10714,nickelsdorf.gv.at
Pama,Burgenland,10715,pama.gv.at
Pamhagen,Burgenland,10716,pamhagen.gv.at
Parndorf,Burgenland,10717,parndorf.gv.at
Podersdorf am See,Burgenland,10718,podersdorf-see.gv.at
Sankt Andrä am Zicksee,Burgenland,10719,st-andrae-zicksee.gv.at
Tadten,Burgenland,10720,tadten.gv.at
